id,en,jp,trans
22,,<span class='scene-font-katari'>しかし、やはり時折</span><br><span class='scene-font-katari'>ノイシュが表情を曇らせ</span><br><span class='scene-font-katari'>考え込む姿も見られる。</span>,<span class='scene-font-katari'>但是...有时候</span><br><span class='scene-font-katari'>他们还是会发现</span><br><span class='scene-font-katari'>诺伊修神情暗淡的在想事情。</span>
23,,<span class='scene-font-katari'>姬塔や仲間達は</span><br><span class='scene-font-katari'>そんなノイシュのことを</span><br><span class='scene-font-katari'>心配していたのだが……</span>,<span class='scene-font-katari'>看到这样的他</span><br><span class='scene-font-katari'>大家都很为他担心</span><br><span class='scene-font-katari'>可是...</span>
24,,姬塔殿。<br>折り入って頼みがある。,姬塔殿下。<br>我请个不情之请。
25,,なんだぁ？<br>改まっちまって、なんかあったのか？,怎么了？<br>突然这么认真？发生什么事情了吗？
26,,騎空団から<br>脱退させてはもらえないだろうか。,请让我退出骑空团吧。
27,,だ、脱退ぃ！？<br>なんでだよ、何か嫌なことでも<br>あったのか！？,退、退出！？<br>为什么？<br>发生什么事情了呀？
28,,嫌なことなどないさ。<br>むしろ、君達には十分すぎる程<br>良くして貰った。だからなんだ。,没有发生什么事情。<br>不如说你们对我太好了，<br>所以...
29,,何かやりたいことが<br>あるんですか？,那是有什么未了之事吗？
30,,……アルスター島……<br>かつてアイルスト王国があった島へ<br>向かおうと、思っている。,想去一趟艾尔斯特王国...<br>艾尔斯特岛...<br>...曾经存在过的那个国家。
31,,アイルスト王国……って、<br>前にノイシュさんが騎士として<br>仕えていた国、ですよね。,艾尔斯特王国...<br>是诺伊修以前担任骑士的那个国家吗？
32,,ああ、そうだ。<br>……そして、私が<br>滅ぼしてしまった国でもある。,是，是的...<br>……而且是我一手毁灭的国家。
33,,なぁ、その滅ぼしたって話だけど……<br>どういうことなんだ？,那个，一手毁灭...<br>到底是怎么回事呀？
34,,そりゃ、確かに兄ちゃんは強いけど<br>流石に国を一人で滅ぼすなんて<br>無理じゃねぇかと思うんだけどよ。,虽然小哥你是很强啦<br>不过一个人要毁灭一个国家<br>怎么想都不太可能啦...
35,,それに、ノイシュさんが<br>そんなことをする人だなんて<br>全く思えないです！,而且，诺伊修根本<br>不是会做这种事情的人！
36,,……そうだな、事情を語らなければと<br>ずっと……思っていた。,...说的也是<br>我也想着总有一天要坦白一切。
37,,語ることが出来なかったのは、<br>ひとえに私の心の弱さ故。<br>許してほしい。,一直没能说出来<br>完全是因为我太懦弱了。<br>还请原谅我。
38,,いえ……無理に聞こうなんて<br>思ってませんでしたし……,怎么会呢...<br>我们也没想强迫你说啦...
39,,でも、ノイシュさんが<br>思い詰めているのを<br>心配してるのは……本当です。,不过，我们真的很担心<br>诺伊修你的事情。
40,,……ありがとう、ルリア殿。<br>あなた方の優しさは、<br>私を救ってくれた。,...谢谢你，露丽亚殿下。<br>你的温柔拯救了我。
41,,だからこそ、<br>私は過去に向き合わねばならない。,正因如此<br>我才更需要去面对我的过去。
42,,<span class='scene-font-katari'>そう言ってノイシュは、</span><br><span class='scene-font-katari'>アイルスト王国に何が起こったのかを</span><br><span class='scene-font-katari'>語り始めた。</span>,<span class='scene-font-katari'>诺伊修如是说</span><br><span class='scene-font-katari'>便开始叙述起</span><br><span class='scene-font-katari'>艾尔斯特王国的事情。</span>
43,,始まりは、国王コノール様が<br>私にディアドラと呼ばれる<br>竜の討伐を命じたことだった。,一切的起因都因国王康纳尔大人<br>命令我去讨伐一条名为<br>迪尔德丽的龙而起。
44,,……ディアドラは<br>大きな力を持つ竜だが、<br>私が知る限り人を襲ったことはない。,...迪尔德丽虽然拥有强大的力量<br>但就我所知从未袭击过人类。
45,,えっ……？<br>じゃあ、なんで王様は<br>ノイシュさんにそんな命令を？,那...<br>为什么国王会下<br>那样的命令呢？
46,,コノール王は、焦っておられたのだ。<br>ご子息のセルエル様と、<br>ご息女のヘルエス様……,国王相当焦虑...原因在于<br>他的儿子——赛鲁艾路大人<br>以及女儿海尔艾丝大人。
47,,おふたりに国民の人気は集中し、<br>私もまたおふたりの傍に仕え<br>民の信頼を受けていた。,两位大人相当受国民的爱戴<br>而我作为他们的左右手<br>也备受国民的信任。
48,,それが、王から見れば<br>己の立場を危うくするように<br>見えたのだろう……,从国王的角度来看<br>这可能已经威胁到自己的王权<br>也说不定...
49,,んなっ！？<br>じゃあそれ、八つ当たりみてぇな<br>モンじゃねぇか！？,啊？<br>那不就只是迁怒吗？
50,,だが、私は国に仕える騎士として<br>アイルストの長たる王に忠誠を誓う身。<br>命に背くなど思いつきもしなかった。,但我身为一国的骑士<br>应该对国家和君主效忠。<br>所以完全没有想过要违反命令。
51,,そして、私は<br>ディアドラの巣に乗り込み<br>戦いを始めた。,于是<br>我就进入迪尔德丽的巢穴<br>开始了战斗。
52,,血で血を洗うような激しい戦いだった。<br>……最後この槍に手ごたえはあったが、<br>私も同時に倒れ意識を失った。,那是场以血洗血的激战。<br>...最后我用手上的这把枪给了它最后一击<br>但我同时也失去了意识。
53,,…………,…………
54,,倒れている間に<br>どれだけの時間が流れたかは解らない。<br>数時間か、数日か……,我到底昏迷了多久<br>我自己也不太清楚<br>数小时还是数日呢...
55,,目覚め、体を引きずって<br>国へ戻ろうとしたが……<br>あるべき場所に国はなかった。,等我清醒过来<br>拖着伤痕累累的身体回到王国的时候<br>却发现它已经不在了。
56,,押し寄せた魔物に荒らしつくされ、<br>美しかったアイルスト王国は<br>見るも無残な姿になっていたんだ。,城内满是魔物肆虐的痕迹<br>那美丽的艾尔斯特王国<br>荡然无存，惨不忍睹...
57,,そんな……！<br>どうして突然そんなことに！？,怎么会！<br>怎么会变成这样？
58,,恐らく、強大な力を持つ<br>ディアドラの存在が<br>魔物への抑止力になっていたんだ。,恐怕拥有强大力量的迪尔德丽<br>他的存在一直以来都抑制了<br>魔物们的行动。
59,,そうともしらず、かの竜を倒した<br>己の愚かさを呪った……,而愚蠢的我不知道这点就...<br>就把它打倒了...
60,,そして、私はせめてと思い<br>慰霊の旅に出たんだ。,在这之后<br>我心里想要做点什么来补偿<br>就这样踏上了这条旅途。
61,,その旅の途中で、オイラ達に<br>出会ったんだな……,然后在旅途中<br>就碰到了我们啊...
62,,そうだ。<br>君達に命を大事にしろと言われ、<br>共に旅を続けて……,是的。<br>被你们劝说要珍惜自己的生命<br>共同旅行至今...
63,,私は、慰霊という言葉は<br>言い訳ではないかと思い至った。<br>罪から逃げていたのでは、と……,我...以慰灵的名义踏上旅途<br>是否只是单纯的想要逃避一切呢...<br>现在我是这么思考的。
64,,ノイシュさん……,诺伊修...
65,,これ以上目を背けるわけにはいかない。<br>だからこそあの島へ、<br>アルスター島へ戻りたいんだ。,我不能继续逃避了<br>正因如此我要回去<br>回到艾尔斯特岛。
65-sel1_txt,,<span class='scene-font-katari'>その後、どうするの？</span>,<span class='scene-font-katari'>接下来你打算怎么办？</span>
65-sel2_txt,,<span class='scene-font-katari'>……わかった、行こう</span>,<span class='scene-font-katari'>我知道了，一起去吧</span>
66,,それは……解らない。<br>罪と向き合ったことで負うべき罰が<br>一体どんなものなのか……,那个...我也不知道<br>面对我的罪孽<br>到底该如何赎罪才好...
67,,それは、<br>アルスター島へ行かねば私にも<br>解らないことなんだ。,而且<br>不去艾尔斯特岛上一趟的话<br>我真的不知该如何是好。
68,,ん？　……姬塔殿達も、<br>私と共にアルスター島へ？<br>それは勿論、構わないが……,啊？姬塔殿下也要跟我一起去？<br>那当然没有问题...
69,,思い詰めている……か、<br>そうなのだろうな……<br>気遣わせてしまって、すまない。,我太多虑见外了...吗<br>说的也是呢...<br>让你们多费心了，抱歉。
70,,まさか……<br>同行してくれる、と？,难道...<br>要跟我一起回去吗？
71,,だが、それでは<br><span class='scene-font-spword'>イスタルシア</span>を目指す君達の旅を<br>中断させてしまうことになる。,可是这样的话<br>会中断你们前往<span class='scene-font-spword'>イスタルシア</span><br>的旅途。
72,,気にすんなよ、そんなこと！<br>仲間だろ？<br>水臭いぜ、騎士の兄ちゃん！,那种小时别在意啦！<br>我们是伙伴哦<br这也太见外了吧，骑士小哥！
73,,すまない……<br>そして、ありがとう。,抱歉...<br>以及谢谢你们。
74,,<span class='scene-font-katari'>深く頭を下げるノイシュは、</span><br><span class='scene-font-katari'>思い詰めた様子だった。</span>,<span class='scene-font-katari'>深深低下头的诺伊修</span><br><span class='scene-font-katari'>又露出了若有所思的表情。</span>
75,,<span class='scene-font-katari'>そんな彼のそばから離れまいと、</span><br><span class='scene-font-katari'>姬塔、ルリア、ビィは</span><br><span class='scene-font-katari'>そっと視線を交わす。</span>,<span class='scene-font-katari'>一行人的眼神交汇</span><br><span class='scene-font-katari'>彼此交流着相同的讯息</span><br><span class='scene-font-katari'>绝对不能放任这样的他而离去</span>
76,,<span class='scene-font-katari'>かくしてノイシュの</span><br><span class='scene-font-katari'>長き巡礼の旅は</span><br><span class='scene-font-katari'>終着点に辿り着こうとしていた。</span>,<span class='scene-font-katari'>就这样</span><br><span class='scene-font-katari'>诺伊修这漫长的旅途</span><br><span class='scene-font-katari'>就到此先告一段落了。</span>
info,,1,scene_evt150930_cp0_q1_s10
